AlignedTime,TrialNumber,Angle IMU (degrees),Angle MoCap (degrees),Filename_IMU,Filename_MoCap
95.01,29,-0.5886262660705636,-3.715984163822793,29AxialRotation_IMU_95s_to_126s,29AxialRotation_MoCap_95s_to_126s
95.02,29,-0.5941690336734701,-3.6981320183824575,29AxialRotation_IMU_95s_to_126s,29AxialRotation_MoCap_95s_to_126s
95.03,29,-0.6051415450070684,-3.6865698234511166,29AxialRotation_IMU_95s_to_126s,29AxialRotation_MoCap_95s_to_126s
95.04,29,-0.6162367993423543,-3.7072017486720767,29AxialRotation_IMU_95s_to_126s,29AxialRotation_MoCap_95s_to_126s
95.05,29,-0.6192827959497771,-3.705185349628282,29AxialRotation_IMU_95s_to_126s,29AxialRotation_MoCap_95s_to_126s
95.06,29,-0.6144105340992362,-3.782710641498244,29AxialRotation_IMU_95s_to_126s,29AxialRotation_MoCap_95s_to_126s
95.07,29,-0.6040500130599888,-3.800002210786493,29AxialRotation_IMU_95s_to_126s,29AxialRotation_MoCap_95s_to_126s
95.08,29,-0.5925932321007232,-3.7945673721690625,29AxialRotation_IMU_95s_to_126s,29AxialRotation_MoCap_95s_to_126s
95.09,29,-0.5773561904896871,-3.788132644543749,29AxialRotation_IMU_95s_to_126s,29AxialRotation_MoCap_95s_to_126s
95.1,29,-0.5609618874944693,-3.808937528423665,29AxialRotation_IMU_95s_to_126s,29AxialRotation_MoCap_95s_to_126s
95.11,29,-0.547558322382173,-3.830981446230812,29AxialRotation_IMU_95s_to_126s,29AxialRotation_MoCap_95s_to_126s
95.12,29,-0.5414764944192582,-3.8401870529984525,29AxialRotation_IMU_95s_to_126s,29AxialRotation_MoCap_95s_to_126s
95.13,29,-0.5410084028716458,-3.837470699119757,29AxialRotation_IMU_95s_to_126s,29AxialRotation_MoCap_95s_to_126s
95.14,29,-0.5434600470045956,-3.8315386201360893,29AxialRotation_IMU_95s_to_126s,29AxialRotation_MoCap_95s_to_126s
95.15,29,-0.5428734260828351,-3.809401678097149,29AxialRotation_IMU_95s_to_126s,29AxialRotation_MoCap_95s_to_126s
95.16,29,-0.5378965393705273,-3.8072246374848664,29AxialRotation_IMU_95s_to_126s,29AxialRotation_MoCap_95s_to_126s
95.17,29,-0.5293833861313202,-3.827737220533096,29AxialRotation_IMU_95s_to_126s,29AxialRotation_MoCap_95s_to_126s
95.18,29,-0.517943965628253,-3.6984622023319003,29AxialRotation_IMU_95s_to_126s,29AxialRotation_MoCap_95s_to_126s
