AlignedTime,TrialNumber,Angle IMU (degrees),Angle MoCap (degrees),Filename_IMU,Filename_MoCap
95.007,1,-4.155803798013198,-1.8288861481847556,1AxialRotation_IMU_95s_to_126s,1AxialRotation_MoCap_95s_to_126s
95.008,1,-4.155803798013198,-1.8288861481847556,1AxialRotation_IMU_95s_to_126s,1AxialRotation_MoCap_95s_to_126s
95.009,1,-4.155803798013198,-1.8288861481847556,1AxialRotation_IMU_95s_to_126s,1AxialRotation_MoCap_95s_to_126s
95.01,1,-4.155803798013198,-1.8288861481847556,1AxialRotation_IMU_95s_to_126s,1AxialRotation_MoCap_95s_to_126s
95.011,1,-4.155803798013198,-1.8288861481847556,1AxialRotation_IMU_95s_to_126s,1AxialRotation_MoCap_95s_to_126s
95.012,1,-4.117834539149859,-1.826182136140549,1AxialRotation_IMU_95s_to_126s,1AxialRotation_MoCap_95s_to_126s
95.013,1,-4.117834539149859,-1.826182136140549,1AxialRotation_IMU_95s_to_126s,1AxialRotation_MoCap_95s_to_126s
95.014,1,-4.117834539149859,-1.826182136140549,1AxialRotation_IMU_95s_to_126s,1AxialRotation_MoCap_95s_to_126s
95.015,1,-4.117834539149859,-1.8234781240963425,1AxialRotation_IMU_95s_to_126s,1AxialRotation_MoCap_95s_to_126s
95.016,1,-4.117834539149859,-1.8234781240963425,1AxialRotation_IMU_95s_to_126s,1AxialRotation_MoCap_95s_to_126s
95.017,1,-4.117834539149859,-1.8234781240963425,1AxialRotation_IMU_95s_to_126s,1AxialRotation_MoCap_95s_to_126s
95.018,1,-4.117834539149859,-1.8234781240963425,1AxialRotation_IMU_95s_to_126s,1AxialRotation_MoCap_95s_to_126s
95.019,1,-4.117834539149859,-1.8353660952077935,1AxialRotation_IMU_95s_to_126s,1AxialRotation_MoCap_95s_to_126s
95.02,1,-4.117834539149859,-1.8353660952077935,1AxialRotation_IMU_95s_to_126s,1AxialRotation_MoCap_95s_to_126s
95.021,1,-4.117834539149859,-1.8353660952077935,1AxialRotation_IMU_95s_to_126s,1AxialRotation_MoCap_95s_to_126s
95.022,1,-4.06278551279307,-1.8472540663192445,1AxialRotation_IMU_95s_to_126s,1AxialRotation_MoCap_95s_to_126s
95.023,1,-4.06278551279307,-1.8472540663192445,1AxialRotation_IMU_95s_to_126s,1AxialRotation_MoCap_95s_to_126s
