AlignedTime,TrialNumber,Angle IMU (degrees),Angle MoCap (degrees),Filename_IMU,Filename_MoCap
3.0,20,1.1548583668921495,1.5327991870138886,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.01,20,1.1721007975464417,1.5439735018786678,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.02,20,1.0992604975760578,1.5320416677180528,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.03,20,1.0269525979174825,1.5284200897742068,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.04,20,1.0436124462743344,1.561687922399162,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.05,20,1.0645280975952112,1.5370062991104918,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.06,20,1.0825167758728007,1.5447037779537351,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.07,20,1.0829177704002326,1.5653678708461576,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.08,20,1.0109889917174968,1.5708381262261035,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.09,20,1.085654851919859,1.5767212227217406,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.1,20,1.120411645950238,1.576455120340126,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.11,20,0.9731345410576964,1.5673182212066872,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.12,20,1.0810224645747546,1.584628266277372,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.13,20,1.1913889151766348,1.605744441170542,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.14,20,1.0830973239882835,1.5938041691933718,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.15,20,0.9020806185605535,1.6082236121915197,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.16,20,0.9749039508723314,1.6074699177473142,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.18,20,0.7472403126765474,1.6992565468268794,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.2,20,0.7713941192663594,1.78428512161845,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.21,20,0.5336800178491181,1.770654798895161,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.22,20,0.82813452302711,1.7688685679220382,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.23,20,0.7729469677856606,1.8257338062815514,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.24,20,0.5889490061440448,1.8456324250634053,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.25,20,0.4945724569505749,1.8452065839776304,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.27,20,0.5837129949218465,1.8511203158080929,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.28,20,0.5999319734614978,1.8518474256870332,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.29,20,0.48985409892763165,1.8533096982580692,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.3,20,0.5806044093362637,1.8583379005246552,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.31,20,0.6735885318717578,1.8642794265236353,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.32,20,0.6391233135477705,1.8635224469953944,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.34,20,0.7295131964769581,1.8978469975369188,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.35,20,0.8782932325782582,1.8883439040381136,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.36,20,0.9501473262499188,1.886780490428568,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
3.37,20,0.8014104026193181,1.9092855498506425,20Flexion_IMU_3s_to_44s,20Flexion_MoCap_3s_to_44s
