AlignedTime,TrialNumber,Angle IMU (degrees),Angle MoCap (degrees),Filename_IMU,Filename_MoCap
95.0,13,1.892745775080121,-1.3147555154733563,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.01,13,1.914283081488716,-1.263402414232786,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.02,13,1.942040799415328,-1.2137519180051468,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.03,13,1.9649179292678205,-1.209094680892525,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.04,13,1.9898064714543904,-1.064585722857457,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.05,13,2.007202426383472,-1.0909837158221793,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.06,13,2.0232557944637297,-1.02452859697787,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.07,13,2.0369905761041363,-1.0161718320807673,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.08,13,2.053774771713921,-0.9996398873035116,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.09,13,2.0693383817025506,-1.1884429363293338,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.1,13,2.0855114064797644,-1.2052104398337082,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.11,13,2.099853846455602,-1.1549007370460824,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.12,13,2.11700170204045,-1.13966221718103,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.13,13,2.1380529736448897,-1.1433410315989745,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.14,13,2.165193661679781,-1.1159559500616885,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.15,13,2.1935537665562785,-1.1025820353227096,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.16,13,2.223803288685914,-1.0823585790477432,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.17,13,2.248870228480341,-0.8952077529984312,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.18,13,2.2838155863515666,-0.9141021447955816,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.19,13,2.317663362711828,-0.9219658229758214,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.2,13,2.349680557973562,-0.8747143732901561,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.21,13,2.381087172549444,-0.8861805176561948,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.22,13,2.4130432068525334,-0.8468741603313896,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.23,13,2.45134066129602,-0.8272699788354534,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.24,13,2.482135536293446,-0.7962787724707319,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.25,13,2.5129298322586213,-0.774750118972146,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.26,13,2.5370135496055606,-0.6768328785943414,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.27,13,2.5585446887486465,-0.6906742368999899,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.28,13,2.574829250102435,-0.6975067153789576,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.29,13,2.5936752340817666,-0.5021500762557265,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.3,13,2.6067866411017957,-0.3833931840278044,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.31,13,2.614407471577863,-0.3411700948517562,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.32,13,2.618977725925651,-0.243123731493104,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.33,13,2.620192404560985,-0.23854511537707118,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.34,13,2.622321507900035,-0.2454023365589321,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.35,13,2.6277440363591307,-0.24685508787545407,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.36,13,2.630481990354883,-0.2483918504765094,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.37,13,2.634439370304055,-0.24418064591412,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.38,13,2.6377861766236927,-0.240276281782485,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.39,13,2.643389409731115,-0.22931672299975275,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.4,13,2.652225070043852,-0.225649208471836,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.41,13,2.6609991579796635,-0.22443210492422233,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.42,13,2.675933673956672,-0.228446423095332,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.43,13,2.69147761839318,-0.21685800656111714,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.44,13,2.704214991707763,-0.2139063457273033,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.45,13,2.712437794319283,-0.21382237952666644,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.46,13,2.721209026646888,-0.213130263112812,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.47,13,2.728210689109992,-0.2080251410910212,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.48,13,2.7358217821282387,-0.1890525429878833,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.49,13,2.751301306121526,-0.1960004153402925,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
95.5,13,2.7662312615099856,-0.1435867015129872,13AxialRotation_IMU_95s_to_126s,13AxialRotation_MoCap_95s_to_126s
