AlignedTime,TrialNumber,Angle IMU (degrees),Angle MoCap (degrees),Filename_IMU,Filename_MoCap
95.01,25,-1.9359828967071988,-2.6365181193493568,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.02,25,-1.889983787590067,-2.607091793317107,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.03,25,-1.842155391322827,-2.542216586959918,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.04,25,-1.7961577073223358,-2.520008897168456,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.05,25,-1.7544807350053375,-2.5941095460689407,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.06,25,-1.7139644737881308,-2.522798606684251,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.07,25,-1.6708879230867757,-2.507519906229141,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.08,25,-1.6352530823170208,-2.3486750063499353,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.09,25,-1.6002289508942615,-2.3129928670323974,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.1,25,-1.5695355282337125,-2.1805359338687795,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.11,25,-1.5424428137501884,-2.184856812716796,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.12,25,-1.5171808068582688,-2.160236443387287,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.13,25,-1.4868575069721293,-2.1465100408729763,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.14,25,-1.4585469135057063,-2.104370969364266,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.15,25,-1.43511702587247,-2.149922551176414,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.16,25,-1.415407843485669,-2.0737382040823364,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.17,25,-1.3944193657581905,-1.992624333400256,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.18,25,-1.3761665921026291,-1.9410201984247002,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.19,25,-1.36004952193124,-1.842946849034348,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.2,25,-1.3439331546560087,-1.9265047126537023,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.21,25,-1.3308064896886718,-1.910573442409976,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.22,25,-1.3201815264406376,-1.8275160674715676,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.23,25,-1.3095572643230595,-1.776435403610635,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.24,25,-1.2980187027467025,-1.7270279884017259,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
95.25,25,-1.2947158411221174,-1.6799988309976452,25AxialRotation_IMU_95s_to_126s,25AxialRotation_MoCap_95s_to_126s
