participant,movement,device,prop_harmful,time_harmful,range_of_motion
10.0,lateral,mocap,0.0,0.0,89.88402732285647
11.0,axial,imu,0.0,0.0,80.42050372101754
11.0,axial,mocap,0.2893602916804773,8.73,134.80978810720242
11.0,flexion,imu,0.35611510791366907,13.86,94.68556680412317
11.0,flexion,mocap,0.29393627954779034,11.44,87.19018576207847
11.0,lateral,imu,0.0,0.0,77.6312779175332
11.0,lateral,mocap,0.0,0.0,78.3849628306966
12.0,axial,imu,0.3265720081135903,9.66,164.21239887055287
12.0,axial,mocap,0.3755916159567275,11.11,221.24298376892335
12.0,flexion,imu,0.21176167139540883,8.21,91.07832506532823
12.0,flexion,mocap,0.20660304359040496,8.01,99.69468241620078
12.0,lateral,imu,0.0,0.0,83.89749382523205
12.0,lateral,mocap,0.0,0.0,84.80865474454583
13.0,axial,imu,0.3544346648612052,10.47,176.0864625410432
13.0,axial,mocap,0.3713608666215301,10.97,200.74820948337702
13.0,flexion,imu,0.18633222421295112,7.28,82.15547320286763
13.0,flexion,mocap,0.1873560276426926,7.32,82.50877749619303
13.0,lateral,imu,0.0,0.0,99.77629374389315
13.0,lateral,mocap,0.0,0.0,96.67065825542467
14.0,axial,imu,0.31315042573320717,6.62,203.9928309070038
14.0,axial,mocap,0.33112582781456956,7.0,236.50763709568037
14.0,flexion,imu,0.37142857142857144,14.56,95.77421939239248
14.0,flexion,mocap,0.35331632653061223,13.85,114.23442933001695
14.0,lateral,imu,0.0,0.0,104.37205586009519
14.0,lateral,mocap,0.0,0.0,106.0201949151716
15.0,axial,imu,0.35100923708518644,10.26,171.38478396107462
15.0,axial,mocap,0.3835100923708519,11.21,207.5605493958919
15.0,flexion,imu,0.3242137560726157,12.68,91.26036885828246
15.0,flexion,mocap,0.2311429301968806,9.040000000000001,86.9397451685815
15.0,lateral,imu,0.0,0.0,55.565493988049354
15.0,lateral,mocap,0.21928104575163399,6.71,141.77882888015222
16.0,axial,imu,0.01524390243902439,0.45,112.49596204975913
16.0,axial,mocap,0.377710027100271,11.15,164.3218721810276
16.0,flexion,imu,0.2346340219331803,9.200000000000001,95.39343831447793
