Shifted Time (s),AxialRotation Angle IMU (degrees)
95.009,-0.5886262660705636
95.018,-0.5941690336734701
95.028,-0.6051415450070684
95.039,-0.6162367993423543
95.04899999999999,-0.6192827959497771
95.059,-0.6144105340992362
95.069,-0.6040500130599888
95.078,-0.5925932321007232
95.088,-0.5773561904896871
95.099,-0.5609618874944693
95.109,-0.547558322382173
95.119,-0.5414764944192582
95.128,-0.5410084028716458
95.138,-0.5434600470045956
95.148,-0.5428734260828351
95.159,-0.5378965393705273
95.169,-0.5293833861313202
95.178,-0.517943965628253
95.188,-0.5057742771238157
95.198,-0.49909631987993813
95.208,-0.494860093157917
95.219,-0.49056459621848
95.229,-0.488161828321875
95.238,-0.487163788727669
95.248,-0.48598447669495315
95.258,-0.4805368914821663
95.268,-0.4738710323471993
95.279,-0.46690189854733594
95.288,-0.45712848933929884
95.298,-0.44619780397926284
95.30799999999999,-0.43465884172289365
95.318,-0.41641160182522075
95.329,-0.39201608354077355
95.339,-0.3774322861234688
95.348,-0.3693162088266523
95.358,-0.3583958509030947
95.368,-0.3499172116049997
95.378,-0.3426602901840116
95.389,-0.33235508589118096
95.397,-0.31814759797701103
95.408,-0.29912282569142873
95.418,-0.29126276828376785
95.428,-0.29011442500273893
95.438,-0.28408779509644155
95.447,-0.27653787781241956
95.457,-0.2717346723975907
95.468,-0.26546917809832804
95.478,-0.25517939416048263
95.488,-0.2455013198293523
95.498,-0.23826495434965453
95.507,-0.23072529696554453
95.518,-0.22513934692063506
95.528,-0.220958103457975
95.538,-0.21860856581998894
95.548,-0.22235073324856947
95.557,-0.22414360498498848
95.567,-0.22301918027006207
95.578,-0.22281145834394717
95.588,-0.22047043844624958
95.598,-0.21935111981598998
95.608,-0.22859350169160048
95.617,-0.24247458331096208
95.627,-0.2645303639113614
95.638,-0.2871358427296948
95.648,-0.30065501900206276
95.658,-0.3111258919641913
95.667,-0.31513346085116684
95.67699999999999,-0.31707772489753927
95.687,-0.3190236833373232
95.698,-0.32352233540383013
95.708,-0.32607168032993034
95.717,-0.3268027173478988
95.727,-0.3330154456894631
95.737,-0.33861986458571697
95.747,-0.34178597326729354
95.758,-0.3456237709642228
95.768,-0.3494032569060339
95.777,-0.3534294303217329
95.787,-0.3614822904398261
95.797,-0.3707568364882251
95.80799999999999,-0.3799710676943367
95.818,-0.38314898328497005
95.827,-0.3860855824864125
95.837,-0.3941468645243447
95.847,-0.40037982862388777
95.857,-0.40417447400969414
95.868,-0.41339879990581585
95.878,-0.4214668055359034
95.887,-0.4282564901229704
95.897,-0.4351078528895655
95.907,-0.43830089305763337
95.917,-0.4378456098486711
95.928,-0.4356840024836235
95.93599999999999,-0.43181607018289225
95.947,-0.4289868121663462
95.957,-0.42426822765331124
95.967,-0.421381315862604
95.977,-0.4209360760125407
95.986,-0.4167715073208503
95.997,-0.4166346090047301
96.007,-0.4265543802808505
96.017,-0.4407458203652595
96.027,-0.4518889284736212
96.038,-0.46047070382093613
96.046,-0.4595491456216797
96.057,-0.45606725308971946
96.067,-0.45380702543839363
96.077,-0.455208461880535
96.087,-0.462091561628387
96.096,-0.47166132389369575
96.106,-0.48159774788773135
96.117,-0.49019283282127246
96.127,-0.4940325779043981
96.137,-0.4954439823468087
96.147,-0.49624704535752995
96.156,-0.49650276614502353
96.166,-0.4960891439171476
96.17699999999999,-0.49866617788125484
96.187,-0.5025158672441962
96.197,-0.5051472112122378
96.206,-0.5081472089912156
96.216,-0.515661859786353
96.226,-0.521958162802452
96.237,-0.5339281172436888
96.247,-0.5390077223136891
96.256,-0.5425649772154579
96.266,-0.5525278811515464
96.276,-0.555172433323902
96.287,-0.5537416329340296
96.297,-0.5527394791828342
96.307,-0.5517389712706974
96.316,-0.5514721083974519
96.326,-0.5541248897623977
96.336,-0.5579993145643132
96.347,-0.5612753820014049
96.357,-0.5602830912714192
96.366,-0.5600244415715027
96.376,-0.5639054320982658
96.386,-0.5659680620477633
96.396,-0.5625423306156071
96.407,-0.558447236996827
96.417,-0.5477047803859179
96.426,-0.5167209599767578
96.43599999999999,-0.46208177496275177
96.446,-0.42573422453659526
96.456,-0.3967083078906669
96.467,-0.31482002421675426
96.476,-0.2240303727060157
96.486,-0.14927935254908364
96.496,-0.09464996293614622
96.506,-0.011362203056671731
