Time (s),Flexion Angle MoCap (degrees)
3.0033333333333334,1.6252334854763195
3.0100000000000002,1.5477960913002813
3.016666666666666,1.5905270466915968
3.023333333333333,1.6059842936143893
3.03,1.5756929510587925
3.0366666666666666,1.5501630370444028
3.0433333333333334,1.5837054854789583
3.0500000000000003,1.535133265328427
3.056666666666666,1.5609375136929364
3.063333333333333,1.5273522503208754
3.07,1.5378095955881272
3.0766666666666667,1.5329637599582204
3.0833333333333335,1.483853499033665
3.0900000000000003,1.4991638788210866
3.0966666666666662,1.5031224609568168
3.103333333333333,1.4540745005660844
3.11,1.4987253248873356
3.1166666666666667,1.5188649474153815
3.1233333333333335,1.5331198916452855
3.1300000000000003,1.4849647617650503
3.1366666666666663,1.516515250829242
3.143333333333333,1.513455072980382
3.15,1.4907931936758794
3.1566666666666667,1.4526161190440205
3.1633333333333336,1.484450242515524
3.1699999999999995,1.4913448425967
3.1766666666666663,1.4835167588202451
3.183333333333333,1.456442930793979
3.19,1.4979082928065246
3.1966666666666668,1.4318398108575816
3.2033333333333336,1.4934434462435655
3.2099999999999995,1.4255073990299114
3.2166666666666663,1.4668430190282966
3.223333333333333,1.467588183502755
3.23,1.4499656667141447
3.236666666666667,1.4469021652795973
3.2433333333333336,1.4281853076227697
3.2499999999999996,1.447755026622836
3.2566666666666664,1.4339128065624949
3.263333333333333,1.3970261490473836
3.27,1.3936847730247461
3.276666666666667,1.4058859356330489
3.2833333333333337,1.4596552050418994
3.2899999999999996,1.4528490740352498
3.2966666666666664,1.4451239236072828
3.3033333333333332,1.4456495536934817
3.31,1.433093246762184
3.316666666666667,1.4324489644373033
3.323333333333333,1.4999686974581368
3.3299999999999996,1.4664549965422693
3.3366666666666664,1.4633887847637073
3.3433333333333333,1.4537389639039298
3.35,1.4428716830427504
3.356666666666667,1.4811611701154839
3.363333333333333,1.4569084158861174
3.3699999999999997,1.4599041553615502
3.3766666666666665,1.5007639952684335
3.3833333333333333,1.496389422820404
3.39,1.501899503260564
3.396666666666667,1.492485225815274
3.403333333333333,1.4955142150827003
3.4099999999999997,1.467349941814786
3.4166666666666665,1.48452612586617
3.4233333333333333,1.4802924088320346
3.43,1.4892730921548734
3.436666666666667,1.4816217003838879
3.443333333333333,1.4871766047848416
3.4499999999999997,1.546748518920712
3.4566666666666666,1.4895078212215058
3.4633333333333334,1.537296652160579
3.47,1.5508330786972515
3.476666666666667,1.5521957981502048
3.483333333333333,1.564765074767023
3.4899999999999998,1.5728232039192862
3.4966666666666666,1.6356025973202861
3.5033333333333334,1.6964605540885083
3.5100000000000002,1.707328289391189
3.516666666666666,1.7175197209601143
3.523333333333333,1.7245151370314253
3.53,1.7284999370148224
3.5366666666666666,1.8216727535945787
3.5433333333333334,1.8407764246475695
3.5500000000000003,1.8250481308757307
3.556666666666666,1.7749821350136548
3.563333333333333,1.8299662290670415
3.57,1.8478355968741487
3.5766666666666667,1.878808904298752
3.5833333333333335,1.918554971779111
3.5900000000000003,1.9394323661425514
3.5966666666666662,1.9655067141869873
