Time (s),LateralBending Angle MoCap (degrees)
78.0,-1.805731864389774
78.00666666666667,-1.8034414739071272
78.01333333333334,-1.7733348474458355
78.02,-1.7792076233929461
78.02666666666667,-1.769481236444079
78.03333333333333,-1.7959481778626476
78.04,-1.8053776752546493
78.04666666666667,-1.7837376723306957
78.05333333333334,-1.7834318334937296
78.06,-1.8133448390507005
78.06666666666666,-1.8240541730647126
78.07333333333334,-1.8268706577677336
78.08,-1.813469652479376
78.08666666666667,-1.815319227412115
78.09333333333333,-1.8210022965619783
78.10000000000001,-1.8110892566341326
78.10666666666667,-1.8249317880889189
78.11333333333333,-1.8132760206417216
78.12,-1.871394679186046
78.12666666666667,-1.852200086693833
78.13333333333334,-1.8448952191932206
78.14,-1.8757679326118875
78.14666666666668,-1.8693585606430196
78.15333333333334,-1.8656208528445737
78.16,-1.92915049450702
78.16666666666667,-1.9601181769963827
78.17333333333333,-1.9767355552236645
78.18,-1.994663557859407
78.18666666666667,-2.012883911719741
78.19333333333334,-2.012883911719741
78.2,-2.038115113064383
78.20666666666666,-2.0505521449530444
78.21333333333334,-2.0523095430311185
78.22,-2.070565864945738
78.22666666666667,-2.0891328143398233
78.23333333333333,-2.11163072346142
78.24000000000001,-2.131264915515663
78.24666666666667,-2.1449589845518835
78.25333333333333,-2.147318857096162
78.26,-2.1722322117963073
78.26666666666667,-2.202678812387083
78.27333333333334,-2.2156136000407223
78.28,-2.2645681055049978
78.28666666666668,-2.277826780249626
78.29333333333334,-2.2836274900316167
78.3,-2.2939064602594037
78.30666666666667,-2.3117202765358273
78.31333333333333,-2.36576988439669
78.32000000000001,-2.375529250927414
78.32666666666667,-2.3718433319470833
78.33333333333333,-2.3932996790715593
78.34,-2.4024295143997407
78.34666666666666,-2.437700710420248
78.35333333333334,-2.4653240518522823
78.36,-2.491883449772097
78.36666666666667,-2.5257929380628994
78.37333333333333,-2.543667390453589
78.38,-2.631086911512124
78.38666666666667,-2.6579265970816497
78.39333333333333,-2.7321514239559948
78.4,-2.790282129335188
78.40666666666667,-2.8078686188054474
78.41333333333334,-2.8509054454966973
78.42,-2.8239857301074185
78.42666666666666,-2.9017349878056304
78.43333333333334,-2.984154968004587
78.44,-3.0361238435126032
78.44666666666667,-3.104048458801405
78.45333333333333,-3.2156339483834544
78.46000000000001,-3.2436688376238267
78.46666666666667,-3.316583110149204
78.47333333333333,-3.334645719598418
78.48,-3.431093365681986
78.48666666666666,-3.5253582991686234
78.49333333333334,-3.631046714436364
78.5,-3.6532716769111158
78.50666666666667,-3.7322258766835614
78.51333333333334,-3.8751038497872545
78.52,-3.971826280425694
78.52666666666667,-4.00198336632775
78.53333333333333,-4.153893621432871
78.54,-4.243221192634089
78.54666666666667,-4.310959769112678
78.55333333333334,-4.3275720850745705
78.56,-4.495155648751591
78.56666666666666,-4.616311830594106
78.57333333333334,-4.718204405697378
78.58,-4.844781218535048
78.58666666666667,-4.934505179332711
78.59333333333333,-5.080744281616363
78.60000000000001,-5.04493919745376
78.60666666666667,-5.261722107539473
78.61333333333333,-5.342888219577713
78.62,-5.506344936361244
78.62666666666667,-5.654221782839234
78.63333333333334,-5.688931457769248
78.64,-5.836348104280609
78.64666666666668,-5.988455411202057
78.65333333333334,-6.091976555963227
78.66,-6.265066153633148
78.66666666666667,-6.382476181019433
78.67333333333333,-6.585393471447707
78.68,-6.650927144944494
78.68666666666667,-6.877989951428969
78.69333333333334,-7.031745679271132
78.7,-7.083176690018924
78.70666666666666,-7.321943718432883
78.71333333333334,-7.516427620905085
78.72,-7.68002390817034
78.72666666666667,-7.813727000485959
78.73333333333333,-8.101948944045384
78.74000000000001,-8.301761728176674
78.74666666666667,-8.495283271411887
78.75333333333333,-8.637436721048415
78.76,-8.826365667650709
78.76666666666667,-9.104825798179313
78.77333333333334,-9.32132909778298
78.78,-9.5414382255366
78.78666666666668,-9.755637511352244
78.79333333333334,-9.9847265953653
78.8,-10.275009912278133
78.80666666666667,-10.601959183194811
78.81333333333333,-10.862111917255984
78.82000000000001,-11.097672862800668
78.82666666666667,-11.354622583587107
78.83333333333333,-11.525083833026533
78.84,-11.896531995930566
