Time (s),Flexion Angle MoCap (degrees)
3.0,1.5327991870138886
3.006666666666667,1.5442634133688755
3.0133333333333336,1.54368359038846
3.0199999999999996,1.5320416677180528
3.0266666666666664,1.5315673547317954
3.033333333333333,1.5252728248166183
3.04,1.561687922399162
3.046666666666667,1.5373573734618349
3.053333333333333,1.5366552247591483
3.0599999999999996,1.5447037779537351
3.0666666666666664,1.5597520613365148
3.0733333333333333,1.5709836803558006
3.08,1.5708381262261035
3.086666666666667,1.5765045140597274
3.093333333333333,1.5769379313837542
3.0999999999999996,1.576455120340126
3.1066666666666665,1.5664786700898805
3.1133333333333333,1.5681577723234938
3.12,1.584628266277372
3.126666666666667,1.5993935981821865
3.133333333333333,1.6120952841588978
3.1399999999999997,1.5938041691933718
3.1466666666666665,1.6170141748405662
3.1533333333333333,1.5994330495424733
3.16,1.6074699177473142
3.166666666666667,1.6459020600638394
3.173333333333333,1.7578213397894142
3.1799999999999997,1.6992565468268794
3.1866666666666665,1.7824856038078452
3.1933333333333334,1.76864348897381
3.2,1.78428512161845
3.206666666666667,1.7588754384524983
3.213333333333333,1.7824341593378237
3.2199999999999998,1.7688685679220382
3.2266666666666666,1.83172895843117
3.2333333333333334,1.8197386541319327
3.24,1.8456324250634053
3.246666666666666,1.8506183091766661
3.253333333333333,1.839794858778595
3.26,1.8521870226838824
3.2666666666666666,1.850606467078746
3.2733333333333334,1.8516341645374395
3.2800000000000002,1.8518474256870334
3.286666666666666,1.8560549295436208
3.293333333333333,1.8505644669725179
3.3,1.8583379005246552
3.3066666666666666,1.8693014437223283
3.3133333333333335,1.8592574093249423
3.3200000000000003,1.8635224469953942
3.326666666666666,1.8684243587789615
3.333333333333333,1.871845827712666
3.34,1.8978469975369188
3.3466666666666667,1.8828442616694105
3.3533333333333335,1.8938435464068168
3.3600000000000003,1.8867804904285679
3.3666666666666663,1.8868011983318969
3.373333333333333,1.9317699013693876
3.38,1.9384656307049568
3.3866666666666667,1.936308987154097
3.3933333333333335,1.938801436855806
3.3999999999999995,1.9592550512192648
3.4066666666666663,1.9299879413679433
3.413333333333333,1.9464325667308062
3.42,1.946736849791915
3.4266666666666667,1.9428332757383364
3.4333333333333336,1.933974923996704
3.4399999999999995,1.9233256283254303
3.4466666666666663,1.9346765673632742
3.453333333333333,1.9341736944092394
3.46,1.933255547903316
3.466666666666667,1.948142067076371
3.4733333333333336,1.9475143188836026
3.4799999999999995,1.9464321660195683
3.4866666666666664,1.9381511673372298
3.493333333333333,1.9466888080010787
3.5,1.9591486986086228
3.506666666666667,1.94802862843845
3.5133333333333336,1.9377318821610958
3.5199999999999996,1.9485313475722155
3.5266666666666664,1.9464135862501752
3.533333333333333,1.9325591406749358
3.54,1.9389560204143743
3.546666666666667,1.964126050190927
3.553333333333333,1.956871783264057
3.5599999999999996,1.957473790625403
3.5666666666666664,1.9641581747516417
3.5733333333333333,1.9618838734339836
3.58,1.9169056717461517
3.586666666666667,1.9285144579886435
3.593333333333333,1.9286219372718056
3.5999999999999996,1.9060283221487375
3.6066666666666665,1.8947458344475585
3.6133333333333333,1.945262404602511
3.62,1.9078723960208834
3.626666666666667,1.8244087845518064
3.633333333333333,1.6975660582391336
3.6399999999999997,1.609068104435322
3.6466666666666665,1.618482784798243
3.6533333333333333,1.6449798960816
3.66,1.608978927329597
3.666666666666667,1.5804880069768616
3.673333333333333,1.6012649746086107
3.6799999999999997,1.6086074951931657
3.6866666666666665,1.6363919784184235
3.6933333333333334,1.667853906660951
3.7,1.6664628346567913
3.706666666666667,1.6352024021769247
3.713333333333333,1.63799938082116
3.7199999999999998,1.6676334667896446
3.7266666666666666,1.6747575035419535
3.7333333333333334,1.686675314436286
3.74,1.620419115395178
3.746666666666666,1.676123124278056
3.753333333333333,1.8241528009054206
3.76,1.8178688798449074
3.7666666666666666,1.9633091025634604
3.7733333333333334,2.030080651807845
3.7800000000000002,2.106358699427624
3.786666666666666,2.0483827971840487
3.793333333333333,2.18212345236501
3.8,2.189111477090826
3.8066666666666666,2.303947077904942
3.8133333333333335,2.3229605833198326
