Shifted Time (s),AxialRotation Angle IMU (degrees)
95.78099999999999,2.377791223897488
95.791,2.5419158914634963
95.801,2.717010240183277
95.812,2.9085062701818916
95.822,3.0781199815850484
95.831,3.2368113745181204
95.841,3.4082544491068085
95.851,3.577867205477416
95.861,3.7480896437558546
95.872,3.9462937640682885
95.88,4.114925566541272
95.891,4.368129051301797
95.901,4.62188021847591
95.911,4.8994110681914
95.92099999999999,5.175111600574623
95.932,5.475932815753638
95.941,5.723522713855032
95.951,5.9803222950063635
95.961,6.243831559336003
95.971,6.503680506971572
95.982,6.77901313804095
95.99,6.977889452672686
96.001,7.2277344509955395
96.011,7.442462133137486
96.021,7.638899499228078
96.03099999999999,7.829236549395867
96.042,8.050909283770748
96.05,8.201487702481575
96.06099999999999,8.375540805658275
96.071,8.509166593430841
96.081,8.607432065929164
96.091,8.678257223283433
96.1,8.719508065624202
96.11,8.743982593082023
96.121,8.742968805787672
96.131,8.719272703872136
96.141,8.680336287466648
96.151,8.620059556702707
96.16,8.540573511711745
96.17099999999999,8.38932015262568
96.181,8.199772479576179
96.191,7.979124492695471
96.201,7.740796192116146
96.21,7.50765157797004
96.22,7.21871265038983
96.231,6.858853409508699
96.241,6.497963855458869
96.251,6.118783988373718
96.26,5.760510808386576
96.27,5.3398603156309825
96.28,4.878359510239487
96.291,4.357524392346995
96.301,3.867972962086606
96.31099999999999,3.335741219593761
96.32,2.8369851650016558
96.33,2.248652798445147
96.34,1.6499501200593998
96.351,0.9667971299800742
96.361,0.3351738283413089
96.37,-0.2585247847204831
96.38,-0.9279587090693016
96.39,-1.6138529445708238
96.401,-2.3996264910873437
96.411,-3.122721348483967
96.42099999999999,-3.856786516622554
96.42999999999999,-4.521829995368232
96.44,-5.271755784583869
96.45,-6.013751884132143
96.461,-6.811605293875276
96.471,-7.539572013677363
96.48,-8.196382043399877
96.49,-8.944479382904806
96.5,-9.7187970320561
96.51,-10.50957499071471
96.521,-11.386575258741612
96.529,-12.038451835999235
96.53999999999999,-12.938926722349072
96.55,-13.753485917653139
96.56,-14.566215421771698
96.57,-15.378945234564407
96.581,-16.273382355894668
96.589,-16.916964785620273
96.6,-17.801337523602697
96.61,-18.606748569702816
96.62,-19.406679923779848
96.63,-20.210871585692352
96.639,-20.93189255530188
96.64999999999999,-21.827673832466765
96.66,-22.63979641704742
96.67,-23.45374930890216
96.67999999999999,-24.282332507888754
96.691,-25.272693013868818
96.699,-25.862134826697975
96.71,-26.66066694623578
96.72,-27.373401372341128
96.73,-28.080646104871313
96.74,-28.779361143683168
96.749,-29.410934488636016
96.759,-30.113300139586926
96.77,-30.873598096392193
96.78,-31.555844358910257
96.78999999999999,-32.220410926996394
96.79899999999999,-32.807534800509
96.809,-33.4586919793044
96.819,-34.10740946323872
96.83,-34.816064252167635
96.84,-35.44222234594851
96.85,-36.062280744435796
96.859,-36.60330844748673
96.869,-37.18128745495659
96.88,-37.79939176670002
96.89,-38.34262138257338
96.89999999999999,-38.88463130243047
96.90899999999999,-39.35432652612749
96.919,-39.85487705351885
96.929,-40.3383478844589
96.94,-40.854506018801686
96.95,-41.302617456402274
96.96,-41.74462919711362
96.969,-42.1309052407906
96.979,-42.541207587286664
96.989,-42.9234602364552
97.0,-43.32425218814924
97.01,-43.670535442222764
97.01899999999999,-43.959135998527906
97.029,-44.26333985691887
97.039,-44.551694017247705
97.04899999999999,-44.82358847936659
97.06,-45.104317243128854
97.068,-45.291330308385945
97.079,-45.52846667499048
97.089,-45.729022342794636
97.099,-45.924088311649875
97.109,-46.11366458140748
97.12,-46.30921115191948
97.129,-46.46391302303656
97.139,-46.63703019460974
97.149,-46.80648766649022
97.15899999999999,-46.96496543852816
97.17,-47.133684510574724
97.178,-47.25338088247978
97.189,-47.4200985540938
97.199,-47.568827525266975
97.209,-47.71328679584891
97.219,-47.84981636568907
97.23,-48.001102234637486
97.238,-48.101776402543116
97.249,-48.239653869255505
97.259,-48.35728463462394
97.26899999999999,-48.47430569849713
97.279,-48.58949706072434
97.288,-48.69810572115413
97.298,-48.8132976796352
97.309,-48.931717936015744
97.319,-49.0316704901443
97.329,-49.13344334186866
97.339,-49.237656491037036
97.348,-49.32760993749705
97.359,-49.43329368109643
97.369,-49.52653772168283
97.379,-49.611852059103526
97.389,-49.69228669320557
97.398,-49.763026623836225
97.408,-49.84102185084242
97.419,-49.92122037407078
97.429,-49.98763619336805
97.439,-50.0491723085804
97.448,-50.09412871955428
97.458,-50.141035426135645
97.468,-50.17757242817029
97.479,-50.209471725503796
97.489,-50.2356493179817
97.499,-50.25267720544917
97.508,-50.25921438775129
97.518,-50.26039286473297
97.52799999999999,-50.26096163623898
97.539,-50.253966702114006
97.54899999999999,-50.240506062202485
97.55799999999999,-50.22674071634867
97.568,-50.20352066439654
97.578,-50.172380906189964
97.588,-50.14368144157259
97.599,-50.115227270387784
97.609,-50.08225839247881
97.618,-50.03995580768882
97.628,-49.98259751586083
97.638,-49.92462951683764
97.649,-49.85928281046194
97.65899999999999,-49.793995396576086
97.66799999999999,-49.72919427502212
97.678,-49.653547445642
97.688,-49.57790090827748
97.698,-49.496764662770154
97.709,-49.39720970896121
97.717,-49.32424204669222
97.728,-49.23273967580411
97.738,-49.15038459613779
97.748,-49.07290980753402
97.758,-49.003355309833466
97.76899999999999,-48.93667010287644
97.777,-48.892000186503346
97.788,-48.845434560554565
97.798,-48.81369122487011
97.80799999999999,-48.79230817928987
97.818,-48.76483542365345
97.827,-48.734067957800335
97.838,-48.690858781569865
97.848,-48.64386689480124
97.858,-48.58834529733358
97.868,-48.52733398900584
97.879,-48.45930996965657
97.887,-48.40488323912444
97.898,-48.339543797247714
97.908,-48.27426364386445
97.91799999999999,-48.20959377881275
97.928,-48.14553420193022
97.937,-48.091171913054424
97.947,-48.02162291202267
97.958,-47.95024619867229
97.968,-47.90082777284031
97.978,-47.84835963436383
97.987,-47.80442078307951
97.997,-47.753173218823974
98.007,-47.698265941433675
98.018,-47.64165295074492
98.02799999999999,-47.58430624659368
98.038,-47.51963982881569
98.047,-47.45430069724656
98.057,-47.37683485172157
98.067,-47.29265929207603
98.078,-47.1904310181446
98.088,-47.092836029762424
98.097,-47.003351326763934
98.107,-46.90210690898359
98.117,-46.79781277625571
98.128,-46.68754492841448
98.138,-46.59605136529357
98.148,-46.50516808672691
98.157,-46.42007709254781
98.167,-46.32980438258951
98.17699999999999,-46.24319195668533
98.188,-46.15438681466803
98.198,-46.06838495637065
98.207,-45.98823638162551
98.217,-45.90467509026499
98.227,-45.827214082121266
98.237,-45.75341335702641
98.248,-45.680031914812005
98.256,-45.62854375530978
98.267,-45.5598598783512
98.277,-45.49825028376755
98.28699999999999,-45.43359097139023
98.297,-45.367711941050175
98.30799999999999,-45.300371192578375
98.317,-45.24931372580538
98.327,-45.19868554056171
98.337,-45.151097636677584
98.347,-45.09986001398317
98.358,-45.045940672308205
98.366,-45.00323961148254
98.377,-44.95467783133573
98.387,-44.91929133169712
98.39699999999999,-44.88695511239598
98.407,-44.85949917326129
98.41799999999999,-44.818319514121825
98.426,-44.784884134806056
98.437,-44.74638903514232
98.447,-44.70673421495861
98.457,-44.65914967408292
98.467,-44.61278541234288
98.476,-44.57105642956615
98.486,-44.52835272558
98.497,-44.48382030021167
98.507,-44.444167153288234
98.517,-44.405124284636756
98.527,-44.364251694084146
98.536,-44.322524381457306
98.54599999999999,-44.27616234658287
98.557,-44.22291958928729
98.567,-44.17351810939701
98.577,-44.13325690673796
98.586,-44.09976598113611
98.596,-44.06133533241724
98.607,-44.016134960407
98.617,-43.96977486493086
98.627,-43.93012504581443
98.636,-43.897184502882986
98.646,-43.85814523596182
98.65599999999999,-43.81788624487602
98.667,-43.77671352945042
98.67699999999999,-43.73584508950988
98.687,-43.69863692487885
98.696,-43.66954103538186
98.706,-43.63965342084312
98.716,-43.61037608108667
98.727,-43.583296015936334
98.737,-43.555239225215985
98.746,-43.53437070874925
98.756,-43.51118446635967
98.766,-43.48860849787056
98.776,-43.46603280310508
98.78699999999999,-43.43962538188619
98.797,-43.421930234036765
98.806,-43.40106335937953
98.816,-43.38275875773713
98.826,-43.36689442893195
98.837,-43.352555372786234
98.847,-43.34096158912203
98.856,-43.328880077761134
98.866,-43.31606683852522
98.876,-43.304473871235686
98.886,-43.29593117571366
98.89699999999999,-43.28830375178011
98.905,-43.274881599255856
98.916,-43.25920271796151
98.926,-43.24212110771737
98.93599999999999,-43.22930976834361
98.946,-43.218328699660255
98.957,-43.20600590148703
98.965,-43.19502537364345
98.976,-43.18270311594882
98.986,-43.174773128222284
98.996,-43.16989341028286
99.006,-43.16684396194945
99.015,-43.170129783040785
99.026,-43.17926987337536
99.036,-43.18536123277157
99.04599999999999,-43.18840286104752
99.056,-43.18352475802128
99.067,-43.18729792351065
99.075,-43.18559235733339
99.086,-43.186022059307064
99.096,-43.18784502924908
99.106,-43.19759826697675
99.116,-43.201251772307295
99.125,-43.20125554505767
99.135,-43.20186958504477
99.146,-43.20162989208519
99.15599999999999,-43.1998044659953
99.166,-43.196759306591254
99.175,-43.19347041368904
99.185,-43.19956578710459
99.195,-43.20993142665348
99.206,-43.22444433215125
99.216,-43.22749050341309
99.226,-43.23297694025418
99.235,-43.23791564248957
99.245,-43.24706260993407
99.255,-43.253769842402335
99.266,-43.260232339708935
99.276,-43.25414010166819
99.285,-43.23658012809434
99.295,-43.21340841880132
99.30499999999999,-43.19084697360292
99.316,-43.1570727923127
99.326,-43.10342187474419
99.336,-43.01867122071064
99.345,-42.92922083002524
99.355,-42.80118070250088
99.365,-42.68350083795063
99.376,-42.556492236186756
99.386,-42.401012897022134
99.395,-42.231994820268504
99.405,-42.01553600573784
99.41499999999999,-41.77468745324227
99.425,-41.51676916259261
99.43599999999999,-41.21605013360073
99.444,-40.98849836607721
99.455,-40.65491185983379
99.465,-40.33662461468059
99.475,-40.00919763042886
99.485,-39.67872090688805
99.496,-39.30153144386907
99.505,-38.95361424118135
99.515,-38.53959829863452
99.52499999999999,-38.11643261603888
99.535,-37.68351719320247
99.54599999999999,-37.19431602993545
99.554,-36.830671126045765
99.565,-36.33074548134343
99.575,-35.85210109563609
99.585,-35.358816968733315
99.595,-34.835653100442144
99.606,-34.23578249057199
99.614,-33.77652313892979
99.625,-33.10958604532513
99.635,-32.485213209564414
99.645,-31.858400631456696
99.655,-31.22609831080762
99.664,-30.636175247425527
99.67399999999999,-29.974603441117694
99.685,-29.256022891689092
99.695,-28.59323159894894
99.705,-27.924340562701538
99.715,-27.26276978275405
99.724,-26.688211258912794
99.734,-26.071760990983897
99.745,-25.407510978771356
99.755,-24.79106122208301
99.765,-24.171561720722302
99.774,-23.62993547449566
99.78399999999999,-23.038486483208473
99.795,-22.39704074666409
99.80499999999999,-21.791572264669405
99.815,-21.170854037027013
99.824,-20.60343506354249
99.834,-19.972967344019494
99.844,-19.35102987826317
99.855,-18.685440666075337
99.865,-18.109853707261877
99.875,-17.5635270016244
99.884,-17.08501154896728
99.89399999999999,-16.562465349093877
99.904,-16.03626940180599
99.91499999999999,-15.437077706907699
99.925,-14.851122264200717
99.934,-14.31114707348837
99.944,-13.733122134572524
99.954,-13.164847447256403
99.964,-12.606333011340448
99.975,-11.994404826627859
99.985,-11.425520892919266
99.994,-10.914626210017044
100.004,-10.371962777722073
100.014,-9.831129595836622
100.02499999999999,-9.219873664160726
100.035,-8.67843098249502
100.044,-8.213635550640989
100.054,-7.717313368398694
100.064,-7.22221143556945
100.074,-6.741139751952137
100.085,-6.231833317347851
100.093,-5.860882131555307
100.104,-5.359628194375321
100.114,-4.921847505606275
100.124,-4.482237065048405
100.134,-4.0511668724995635
100.145,-3.5968619277597176
100.15299999999999,-3.2761522306272037
100.164,-2.848005780900058
100.17399999999999,-2.471816578377978
100.184,-2.102327622857962
100.194,-1.7352789141386729
100.203,-1.4192124520183031
100.213,-1.072284236294913
